Compañia,Linea de producto,Año,Ingresos soles
Otros,CableTV,2015,1657179
Otros,Público,2015,157279
Otros,Linea fija,2015,603498
Otros,Data,2015,5121167
Otros,Larga distancia,2015,8341050
Otros,Data,2015,6079005
Otros,Otros,2015,5372451
Otros,Equipos,2015,6239960
Otros,Móvil,2015,21362807
Otros,Internet,2015,21602234
Otros,CableTV,2015,954583
Otros,CableTV,2015,766
Otros,Otros,2015,2178
Otros,Data,2015,43456
Otros,Internet,2015,386369
Otros,Equipos,2015,1099942
Otros,Linea fija,2015,687020
Otros,Larga distancia,2015,5107445
Otros,Data,2015,10060471
Otros,Otros,2015,12720729
Otros,Internet,2015,51409354
Otros,CableTV,2015,150769
Otros,CableTV,2015,37010
Otros,Internet,2015,60696
Otros,CableTV,2015,3433752
Otros,CableTV,2015,990268
Otros,Público,2015,1100555
Otros,CableTV,2015,293617
Otros,CableTV,2015,1923033
Otros,CableTV,2015,156390
Otros,CableTV,2015,34900
Otros,Linea fija,2015,2869
Otros,Equipos,2015,34650
Otros,Internet,2015,58686
Otros,Otros,2015,98851
Otros,CableTV,2015,824684
Otros,CableTV,2015,87970
Otros,CableTV,2015,58432
Otros,CableTV,2015,12111762
Otros,Otros,2015,3483898
Otros,Móvil,2015,14459925
Otros,CableTV,2015,10071
Otros,CableTV,2015,70077
Otros,CableTV,2015,594080
Otros,CableTV,2015,69196
Otros,CableTV,2015,943797
Otros,CableTV,2015,393757
Movistar,Otros,2015,60355240
Movistar,Larga distancia,2015,92658000
Movistar,Público,2015,238800000
Movistar,Interconexión,2015,390579000
Movistar,Equipos,2015,583310000
Movistar,Linea fija,2015,624811000
Movistar,Data,2015,686574000
Movistar,CableTV,2015,945944000
Movistar,Internet,2015,1437675000
Movistar,Móvil,2015,4719637760
Otros,CableTV,2015,94743
Otros,CableTV,2015,3118501
Otros,CableTV,2015,166222
Otros,CableTV,2015,407355
Otros,CableTV,2015,47391
Otros,CableTV,2015,205873
Otros,Equipos,2015,157149
Otros,Internet,2015,351916
Otros,Móvil,2015,486210
Otros,Móvil,2015,4781
Otros,Internet,2015,5884
Otros,Otros,2015,20237
Otros,Público,2015,26203
Otros,Linea fija,2015,43841
Otros,Data,2015,2615634
Otros,Internet,2015,258526
Bitel,Data,2015,3288067
Bitel,Interconexión,2015,35907020
Bitel,Equipos,2015,75004480
Bitel,Móvil,2015,139157070
Otros,CableTV,2015,2082862
Otros,CableTV,2015,301056
Otros,Internet,2015,408770
Otros,Data,2015,526681
Otros,Público,2015,62270
Otros,Interconexión,2015,131130
Otros,Internet,2015,251162
Otros,Linea fija,2015,1787193
Otros,Internet,2015,8919
Otros,Internet,2015,12603
Otros,Linea fija,2015,96085
Otros,Equipos,2015,261376
Otros,Otros,2015,2615905
Otros,Data,2015,8837054
Otros,CableTV,2016,60075
Otros,Internet,2016,79954
Otros,CableTV,2016,1131123
Claro,Público,2016,7376103
Claro,Larga distancia,2016,8655521
Claro,Linea fija,2016,130960220
Claro,Otros,2016,140575842
Claro,Data,2016,156539940
Claro,CableTV,2016,185058624
Claro,Internet,2016,333764289
Claro,Interconexión,2016,412388880
Claro,Equipos,2016,883116261
Claro,Móvil,2016,3188010738
Otros,Público,2016,1555
Otros,Equipos,2016,86714
Otros,Interconexión,2016,1050860
Otros,Otros,2016,12370039
Otros,Data,2016,13081097
Otros,Linea fija,2016,18924185
Otros,Larga distancia,2016,32885104
Otros,Internet,2016,53775446
Otros,CableTV,2016,52710
Otros,Interconexión,2016,53875
Otros,Público,2016,159163
Otros,Linea fija,2016,730328
Otros,CableTV,2016,144693
Otros,Internet,2016,137076
Otros,Equipos,2016,874818
Otros,Data,2016,22223921
Otros,Data,2016,326195
Otros,CableTV,2016,13650
Otros,Internet,2016,1169293
Otros,Data,2016,7679562
Otros,CableTV,2016,453046
Otros,CableTV,2016,114039
Otros,CableTV,2016,1932074
Otros,CableTV,2016,1857737
Otros,Equipos,2016,41164
Otros,CableTV,2016,538674
Otros,CableTV,2016,71090
Otros,CableTV,2016,64841
Otros,CableTV,2016,521232
Otros,CableTV,2016,67080
Otros,Internet,2016,91720
Otros,CableTV,2016,3476922
Otros,CableTV,2016,518575
Otros,CableTV,2016,4790892
Otros,Otros,2016,20176
Otros,CableTV,2016,1000758
Otros,Otros,2016,3814
Otros,CableTV,2016,377858
Otros,Internet,2016,137625
Otros,CableTV,2016,4635041
Otros,Equipos,2016,49498
Otros,Móvil,2016,106704
Otros,Internet,2016,167570
Otros,CableTV,2016,30830258
Otros,CableTV,2016,169546
Otros,CableTV,2016,119664
Otros,Linea fija,2016,19331718
Otros,Internet,2016,31352359
Otros,Larga distancia,2016,55075446
Otros,Data,2016,78807233
Otros,CableTV,2016,50000
Otros,CableTV,2016,312270
Otros,Equipos,2016,892170
Otros,Data,2016,1417077
Otros,Linea fija,2016,1898
Otros,Equipos,2016,31773
Otros,Data,2016,72187
Otros,Otros,2016,186322
Otros,Internet,2016,1239969
Otros,Interconexión,2016,10353
Otros,Linea fija,2016,22962
Otros,Internet,2016,72518
Otros,CableTV,2016,1824522
Otros,CableTV,2016,3180664
Otros,CableTV,2016,114483
Otros,Linea fija,2016,379
Otros,Equipos,2016,98122
Otros,Otros,2016,110714
Otros,Internet,2016,366948
Otros,Equipos,2016,14348
Otros,Data,2016,65955
Otros,Data,2016,82339
Otros,Larga distancia,2016,1179914
Otros,Internet,2016,1204633
Otros,Linea fija,2016,2063953
Otros,Interconexión,2016,7839782
Otros,CableTV,2016,148593
DirectTV,Equipos,2016,49947446
DirectTV,CableTV,2016,220421501
Otros,CableTV,2016,1748075
Otros,Equipos,2016,5106231
Otros,Móvil,2016,7248631
Otros,CableTV,2016,32071
Entel,Internet,2016,913675
Entel,Linea fija,2016,1144760
Entel,Data,2016,1980554
Entel,Otros,2016,5889411
Entel,Interconexión,2016,254795708
Entel,Equipos,2016,268363313
Entel,Móvil,2016,1199205918
Otros,Equipos,2016,1548956
Otros,Data,2016,7217240
Otros,CableTV,2016,78932
Otros,CableTV,2016,81513
Otros,CableTV,2016,25940
Otros,Interconexión,2016,86026
Otros,Larga distancia,2016,980893
Otros,Linea fija,2016,3226391
Otros,Otros,2016,3340936
Otros,Equipos,2016,3352289
Otros,Público,2016,9452234
Otros,Internet,2016,17461038
Otros,Equipos,2016,494009
Otros,Data,2016,1710375
Otros,Otros,2016,2197435
Otros,Internet,2016,8528550
Otros,CableTV,2016,9320
Otros,CableTV,2016,113895
Otros,CableTV,2016,1045936
Otros,Otros,2016,159307
Otros,CableTV,2016,3614875
Otros,Larga distancia,2016,3621546
Otros,Larga distancia,2016,4096345
Otros,Otros,2016,107928
Otros,Interconexión,2016,262683
Otros,Móvil,2016,565390
Otros,CableTV,2016,28526
Otros,Internet,2016,2582460
Otros,Data,2016,17821361
Otros,Otros,2016,40967983
Otros,CableTV,2016,585091
Otros,CableTV,2016,348115
Otros,CableTV,2016,309427
Otros,CableTV,2016,468576
Otros,CableTV,2016,164361
Otros,CableTV,2016,138314
Otros,CableTV,2016,40088
Otros,CableTV,2016,46642
Otros,CableTV,2016,684355
Otros,Internet,2016,151947
Otros,CableTV,2016,1759331
Otros,Público,2016,17845
Otros,Otros,2016,559069
Otros,Linea fija,2016,665044
Otros,Larga distancia,2016,5705915
Otros,Data,2016,11240809
Otros,Equipos,2016,70752
Otros,Otros,2016,71284
Otros,Data,2016,7580276
Otros,Otros,2016,8787312
Otros,Data,2016,302430
Otros,Equipos,2016,3039301
Otros,Móvil,2016,18480720
Otros,Internet,2016,19807530
Otros,Equipos,2016,123089
Otros,CableTV,2016,1050359
Otros,Larga distancia,2016,7779788
Otros,Data,2016,14842349
Otros,Otros,2016,20651653
Otros,Linea fija,2016,22359269
Otros,Internet,2016,70863624
Otros,CableTV,2016,206047
Otros,CableTV,2016,529297
Otros,CableTV,2016,36635
Otros,CableTV,2016,3786288
Otros,CableTV,2016,1238571
Otros,Público,2016,6515719
Otros,Larga distancia,2016,48806
Otros,Otros,2016,3770
Otros,CableTV,2016,1935273
Otros,CableTV,2016,426815
Otros,CableTV,2016,71070
Otros,CableTV,2016,79131
Otros,CableTV,2016,11106314
Otros,Otros,2016,1631246
Otros,Móvil,2016,12377816
Otros,CableTV,2016,81312
Otros,CableTV,2016,98949
Otros,Otros,2016,4314
Otros,CableTV,2016,423005
Otros,CableTV,2016,71976
Otros,CableTV,2016,488369
Movistar,Otros,2016,48217937
Movistar,Larga distancia,2016,65282000
Movistar,Público,2016,174260000
Movistar,Interconexión,2016,510811000
Movistar,Linea fija,2016,580671000
Movistar,Equipos,2016,581321000
Movistar,Data,2016,733651000
Movistar,CableTV,2016,1081254000
Movistar,Internet,2016,1389487000
Movistar,Móvil,2016,4207799063
Otros,CableTV,2016,142677
Otros,CableTV,2016,446404
Otros,CableTV,2016,49486
Otros,Otros,2016,19168
Otros,CableTV,2016,185152
Otros,CableTV,2016,67958
Otros,CableTV,2016,529252
Otros,Equipos,2016,114695
Otros,Internet,2016,400193
Otros,Móvil,2016,498298
Otros,Linea fija,2016,4783
Otros,Móvil,2016,8730
Otros,Internet,2016,14852
